Iteration max_z min_z max_grad min_grad
1 0.78785 1.95934e-44 0.597227 0.0255962
2 0.0148309 -0.0143646 1.32737 0.834102
3 0.00474891 -0.0115358 1.21433 0.896872
4 0.00294641 -0.00725587 1.14612 0.915506
5 0.0021403 -0.00513533 1.11081 0.932058
6 0.00170007 -0.00393024 1.08933 0.945731
7 0.00142796 -0.0031688 1.07474 0.956605
8 0.00124426 -0.00264931 1.06542 0.964812
9 0.00111139 -0.00227584 1.05831 0.971015
10 0.00100966 -0.00199597 1.05262 0.974833
11 0.00092796 -0.00177868 1.04794 0.976107
12 0.000859674 -0.00160802 1.04417 0.977528
13 0.000800731 -0.00147067 1.04105 0.979019
14 0.000748551 -0.00135315 1.03854 0.980526
15 0.000701463 -0.00125073 1.0363 0.98201
16 0.000658365 -0.00116018 1.03428 0.983446
17 0.000618512 -0.00107921 1.03245 0.984819
18 0.000581391 -0.00100615 1.03081 0.986088
19 0.000546638 -0.000939785 1.02945 0.987115
20 0.000513989 -0.000879163 1.02819 0.988007
21 0.000483243 -0.000823553 1.02702 0.988775
22 0.000454243 -0.000772371 1.02592 0.989515
23 0.000426862 -0.000725135 1.02489 0.990227
24 0.000400992 -0.000681447 1.02392 0.990797
25 0.000376542 -0.000640965 1.02302 0.991288
26 0.00035343 -0.000603398 1.02217 0.991763
27 0.000331582 -0.00056849 1.02137 0.992179
28 0.00031093 -0.000536016 1.02062 0.992446
29 0.000291412 -0.000505776 1.01991 0.992703
30 0.000272968 -0.000477589 1.01925 0.992951
31 0.000255544 -0.000451296 1.01862 0.993196
32 0.000239087 -0.00042675 1.01803 0.993437
33 0.000223547 -0.000403818 1.01747 0.993674
34 0.000208879 -0.00038238 1.01694 0.993906
35 0.000195036 -0.000362325 1.01644 0.994132
36 0.000181977 -0.000343554 1.01596 0.99427
37 0.00016966 -0.000325973 1.01552 0.994374
38 0.000158048 -0.000309498 1.01509 0.994478
39 0.000147104 -0.000294051 1.01469 0.994583
40 0.000136792 -0.000279559 1.01431 0.994688
41 0.000127079 -0.000265957 1.01395 0.994658
42 0.000117934 -0.000253184 1.01361 0.994622
43 0.000109325 -0.000241186 1.01328 0.994594
44 0.000101225 -0.000229936 1.01298 0.994573
45 9.36061e-05 -0.000219354 1.01268 0.994559
46 8.6442e-05 -0.000209397 1.0124 0.994551
47 7.97081e-05 -0.000200024 1.01214 0.994549
48 7.37509e-05 -0.000191195 1.01188 0.994551
49 6.86167e-05 -0.000182877 1.01164 0.994559
50 6.40432e-05 -0.000175035 1.01141 0.994571
51 6.01621e-05 -0.00016764 1.01119 0.994588
52 5.65075e-05 -0.000160663 1.01097 0.994609
53 5.30657e-05 -0.000154077 1.01077 0.994633
54 5.06078e-05 -0.000147857 1.01058 0.99466
55 4.85655e-05 -0.000141982 1.01039 0.99469
56 4.69066e-05 -0.000136428 1.01022 0.994724
57 4.53283e-05 -0.000131177 1.01005 0.99476
58 4.38256e-05 -0.000126209 1.00988 0.994798
59 4.23935e-05 -0.000121508 1.00972 0.994838
60 4.10276e-05 -0.000117056 1.00957 0.99488
61 3.97238e-05 -0.000112839 1.00943 0.994925
62 3.84783e-05 -0.000108843 1.00929 0.99497
63 3.74864e-05 -0.000105054 1.00915 0.995017
64 3.66091e-05 -0.000101461 1.00902 0.995066
65 3.57624e-05 -9.805e-05 1.0089 0.995115
66 3.49445e-05 -9.48119e-05 1.00877 0.995166
67 3.41539e-05 -9.1736e-05 1.00866 0.995218
68 3.33889e-05 -8.8813e-05 1.00854 0.99527
69 3.26483e-05 -8.60337e-05 1.00843 0.995323
70 3.19307e-05 -8.339e-05 1.00833 0.995377
71 3.12349e-05 -8.08738e-05 1.00823 0.995431
72 3.05599e-05 -7.84779e-05 1.00813 0.995485
73 3.0113e-05 -7.61954e-05 1.00803 0.99554
74 2.97845e-05 -7.40198e-05 1.00793 0.995595
75 2.94545e-05 -7.1945e-05 1.00784 0.99565
76 2.91233e-05 -6.99654e-05 1.00775 0.995706
77 2.87911e-05 -6.80755e-05 1.00767 0.995761
78 2.84583e-05 -6.62704e-05 1.00758 0.995816
79 2.81252e-05 -6.45453e-05 1.0075 0.995872
80 2.7792e-05 -6.28959e-05 1.00742 0.995927
81 2.7459e-05 -6.13178e-05 1.00735 0.995982
82 2.71264e-05 -5.98073e-05 1.00727 0.996037
83 2.67945e-05 -5.83607e-05 1.0072 0.996092
84 2.64635e-05 -5.69744e-05 1.00712 0.996146
85 2.61335e-05 -5.56452e-05 1.00705 0.9962
86 2.58047e-05 -5.43702e-05 1.00698 0.996254
87 2.54774e-05 -5.31463e-05 1.00692 0.996308
88 2.51795e-05 -5.19708e-05 1.00685 0.996361
89 2.49335e-05 -5.08413e-05 1.00679 0.996413
90 2.46856e-05 -4.97554e-05 1.00672 0.996466
91 2.44359e-05 -4.87106e-05 1.00666 0.996518
92 2.41849e-05 -4.77051e-05 1.0066 0.996569
93 2.39328e-05 -4.67366e-05 1.00654 0.996608
94 2.368e-05 -4.58034e-05 1.00648 0.99664
95 2.34266e-05 -4.49036e-05 1.00643 0.996672
96 2.3173e-05 -4.40356e-05 1.00637 0.996704
97 2.29193e-05 -4.31978e-05 1.00632 0.996736
