Iteration max_z min_z max_grad min_grad
1 0.716756 1.78153e-44 0.597227 0.0255962
2 0.068362 1.4417e-45 1.2149 0.763067
3 0.0102647 -0.00481214 1.21463 0.884288
4 0.00350496 -0.00673767 1.15769 0.911188
5 0.00221097 -0.0051806 1.12109 0.927475
6 0.00170916 -0.00400242 1.09793 0.940713
7 0.0014213 -0.0032278 1.08212 0.951549
8 0.00123012 -0.00269385 1.07102 0.960295
9 0.00109325 -0.00230862 1.06337 0.966875
10 0.000989778 -0.00201972 1.05726 0.972125
11 0.000907942 -0.00179589 1.05223 0.975243
12 0.000840694 -0.00161747 1.04802 0.976395
13 0.000783623 -0.00147299 1.04456 0.977663
14 0.00073388 -0.00135654 1.04157 0.978992
15 0.00068958 -0.00125589 1.03922 0.98034
16 0.000649455 -0.00116752 1.03711 0.981678
17 0.000612635 -0.00108891 1.0352 0.982984
18 0.000578515 -0.00101827 1.03346 0.984243
19 0.000546664 -0.00095425 1.03185 0.985447
20 0.000516772 -0.000895836 1.03039 0.986508
21 0.000488608 -0.000842251 1.02919 0.987408
22 0.000461999 -0.000792884 1.02806 0.988185
23 0.000436809 -0.000747243 1.02699 0.988874
24 0.000412929 -0.000704927 1.026 0.989542
25 0.00039027 -0.000665604 1.02506 0.990186
26 0.000368756 -0.000628992 1.02417 0.990727
27 0.000348321 -0.000594847 1.02334 0.991175
28 0.000328907 -0.000562961 1.02255 0.991609
29 0.000310461 -0.000533149 1.0218 0.992029
30 0.000292934 -0.000505247 1.0211 0.992313
31 0.000276283 -0.000479108 1.02043 0.992554
32 0.000260464 -0.000454602 1.0198 0.992781
33 0.000245439 -0.000431608 1.0192 0.993005
34 0.000231171 -0.000410019 1.01863 0.993227
35 0.000217623 -0.000389736 1.01809 0.993445
36 0.000204763 -0.000370669 1.01758 0.99366
37 0.000192558 -0.000352733 1.01709 0.99387
38 0.000180977 -0.000335854 1.01663 0.994076
39 0.000169992 -0.000319961 1.01619 0.994241
40 0.000159574 -0.000304988 1.01578 0.994334
41 0.000149697 -0.000290876 1.01538 0.994428
42 0.000140335 -0.000277568 1.015 0.994522
43 0.000131463 -0.000265015 1.01464 0.994617
44 0.000123058 -0.000253167 1.0143 0.994703
45 0.000115098 -0.00024198 1.01397 0.994664
46 0.000107561 -0.000231413 1.01366 0.994631
47 0.000100426 -0.000221427 1.01336 0.994605
48 9.36742e-05 -0.000212 1.01308 0.994585
49 8.72867e-05 -0.000203096 1.01281 0.994571
50 8.12455e-05 -0.000194671 1.01255 0.994561
51 7.55334e-05 -0.000186697 1.0123 0.994557
52 7.01781e-05 -0.000179146 1.01206 0.994557
53 6.55086e-05 -0.000171994 1.01184 0.994561
54 6.1473e-05 -0.000165216 1.01162 0.994569
55 5.77956e-05 -0.000158791 1.01141 0.994581
56 5.46081e-05 -0.000152699 1.01121 0.994596
57 5.15898e-05 -0.000146919 1.01102 0.994615
58 4.87314e-05 -0.000141435 1.01083 0.994636
59 4.65328e-05 -0.000136228 1.01065 0.99466
60 4.4677e-05 -0.000131283 1.01048 0.994687
61 4.32795e-05 -0.000126586 1.01032 0.994717
62 4.19446e-05 -0.000122122 1.01016 0.994748
63 4.06682e-05 -0.000117878 1.01001 0.994781
64 3.94471e-05 -0.000113841 1.00986 0.994817
65 3.82779e-05 -0.000110001 1.00972 0.994854
66 3.71577e-05 -0.000106346 1.00958 0.994893
67 3.60838e-05 -0.000102867 1.00945 0.994933
68 3.50535e-05 -9.95526e-05 1.00932 0.994974
69 3.41979e-05 -9.63948e-05 1.0092 0.995017
70 3.34675e-05 -9.33849e-05 1.00908 0.99506
71 3.27605e-05 -9.05149e-05 1.00896 0.995105
72 3.20755e-05 -8.77772e-05 1.00885 0.995151
73 3.14115e-05 -8.51648e-05 1.00874 0.995197
74 3.07674e-05 -8.26709e-05 1.00863 0.995244
75 3.01422e-05 -8.02891e-05 1.00853 0.995292
76 2.95349e-05 -7.80136e-05 1.00843 0.99534
77 2.89448e-05 -7.58388e-05 1.00834 0.995389
78 2.8371e-05 -7.37593e-05 1.00824 0.995438
79 2.78127e-05 -7.17701e-05 1.00815 0.995487
80 2.73964e-05 -6.98666e-05 1.00806 0.995537
81 2.71259e-05 -6.80443e-05 1.00798 0.995587
82 2.68541e-05 -6.62989e-05 1.00789 0.995637
83 2.65813e-05 -6.46266e-05 1.00781 0.995687
84 2.63077e-05 -6.30236e-05 1.00773 0.995737
85 2.60335e-05 -6.14863e-05 1.00765 0.995788
86 2.57589e-05 -6.00114e-05 1.00758 0.995838
87 2.54841e-05 -5.85959e-05 1.0075 0.995888
88 2.52094e-05 -5.72365e-05 1.00743 0.995938
89 2.49347e-05 -5.59307e-05 1.00736 0.995988
90 2.46604e-05 -5.46756e-05 1.00729 0.996038
91 2.43866e-05 -5.34689e-05 1.00722 0.996088
92 2.41134e-05 -5.2308e-05 1.00716 0.996137
93 2.3841e-05 -5.11908e-05 1.00709 0.996186
94 2.35694e-05 -5.01151e-05 1.00703 0.996235
95 2.32988e-05 -4.90789e-05 1.00697 0.996284
96 2.30294e-05 -4.80803e-05 1.00691 0.996332
97 2.28011e-05 -4.71175e-05 1.00685 0.99638
98 2.25982e-05 -4.61888e-05 1.00679 0.996428
99 2.23938e-05 -4.52925e-05 1.00673 0.996476
100 2.21882e-05 -4.44272e-05 1.00667 0.996523
