Iteration max_z min_z max_grad min_grad
1 0.656045 2.17437e-43 0.822629 0.129956
2 0.0171317 -0.0232126 1.25206 0.878188
3 0.00912358 -0.0152687 1.17492 0.913078
4 0.00631969 -0.0102523 1.13379 0.932652
5 0.00480561 -0.00768846 1.12533 0.939101
6 0.0039338 -0.00615219 1.11675 0.941489
7 0.00339334 -0.00513355 1.10838 0.942972
8 0.00299447 -0.00441322 1.10048 0.945415
9 0.00268113 -0.00387953 1.09318 0.948431
10 0.00242398 -0.00346839 1.0865 0.951733
11 0.00220616 -0.00315996 1.08044 0.954732
12 0.00201731 -0.00290504 1.07495 0.95738
13 0.00185071 -0.00268037 1.06998 0.96
14 0.00170184 -0.00247934 1.06547 0.962554
15 0.00156754 -0.00229763 1.06138 0.965017
16 0.00144552 -0.00213222 1.05764 0.967373
17 0.0013341 -0.00198095 1.05423 0.969613
18 0.00123196 -0.00184216 1.05111 0.971733
19 0.00113807 -0.00171453 1.04823 0.973733
20 0.00105343 -0.00159697 1.04558 0.975612
21 0.000980468 -0.0014927 1.04314 0.977375
22 0.000912822 -0.00139608 1.04087 0.979025
23 0.000850011 -0.00130632 1.03877 0.980567
24 0.000791623 -0.00122287 1.03682 0.982007
25 0.000737299 -0.00114527 1.035 0.983349
26 0.000686719 -0.00107308 1.0333 0.984599
27 0.000639601 -0.00100591 1.03172 0.985763
28 0.000595689 -0.000943405 1.03024 0.986846
29 0.000554754 -0.000885231 1.02886 0.987853
30 0.000516583 -0.000831079 1.02756 0.988789
31 0.000480985 -0.000780662 1.02634 0.989659
32 0.000447782 -0.000733712 1.0252 0.990467
33 0.000416811 -0.000689981 1.02412 0.991217
34 0.000387922 -0.000649238 1.02311 0.991913
35 0.000360973 -0.000611269 1.02216 0.99256
36 0.000335836 -0.000575873 1.02126 0.993079
37 0.000312389 -0.000542866 1.02041 0.993142
38 0.000290519 -0.000512076 1.01962 0.993213
39 0.000270122 -0.000483344 1.01886 0.993291
40 0.000251099 -0.000456524 1.01815 0.993374
41 0.00023336 -0.000431477 1.01747 0.993462
42 0.000216818 -0.000408078 1.01684 0.993555
43 0.000201396 -0.000386209 1.01623 0.993651
44 0.000187017 -0.000365762 1.01566 0.99375
45 0.000173613 -0.000346636 1.01511 0.993852
46 0.000161119 -0.000328738 1.0146 0.993955
47 0.000149473 -0.000311982 1.0141 0.99406
48 0.000138621 -0.000296288 1.01364 0.994166
49 0.000128507 -0.000281581 1.01319 0.994273
50 0.000119084 -0.000267793 1.01277 0.99438
51 0.000110305 -0.00025486 1.01237 0.994487
52 0.000102127 -0.000242723 1.01198 0.994594
53 9.45092e-05 -0.000231328 1.01162 0.994702
54 8.74145e-05 -0.000220624 1.01126 0.994808
55 8.08077e-05 -0.000210564 1.01093 0.994914
