Iteration max_z min_z max_grad min_grad
1 0.127185 1.19572e-44 0.675866 0.0561952
2 0.110228 1.3065e-44 0.759514 0.199546
3 0.0899744 1.05559e-44 0.840346 0.322476
4 0.0723327 7.97554e-45 0.900405 0.427234
5 0.058371 5.86229e-45 0.946821 0.513733
6 0.0473577 4.30391e-45 0.981984 0.586167
7 0.0385514 3.20595e-45 1.00779 0.647123
8 0.0314336 2.40926e-45 1.02701 0.697723
9 0.0256422 1.81805e-45 1.04144 0.739743
10 0.0209112 1.3727e-45 1.05232 0.775052
11 0.0170956 1.03393e-45 1.06054 0.804749
12 0.0141111 7.7451e-46 1.06716 0.829754
13 0.0117407 5.74951e-46 1.07277 0.850835
14 0.00982815 4.20929e-46 1.07702 0.868635
15 0.00824167 3.01763e-46 1.08018 0.88369
16 0.00692464 2.09393e-46 1.08249 0.896449
17 0.00583047 1.3769e-46 1.08413 0.907285
18 0.00492081 8.19656e-47 1.08523 0.916512
19 0.004164 3.86176e-47 1.0859 0.92439
20 0.0035339 -8.6237e-06 1.08625 0.931138
21 0.0030089 -2.53025e-05 1.08633 0.936937
22 0.00257112 -3.81078e-05 1.0862 0.941939
23 0.00220577 -4.78685e-05 1.0859 0.946271
24 0.00190059 -5.52378e-05 1.08548 0.950039
25 0.00164541 -6.43294e-05 1.08496 0.953332
26 0.00143182 -8.53266e-05 1.08436 0.956023
27 0.00125282 -0.000105705 1.0837 0.957359
28 0.00110262 -0.000139222 1.08299 0.958547
29 0.000976409 -0.000227062 1.08225 0.959371
30 0.00087018 -0.00029711 1.08149 0.960112
31 0.000780615 -0.000352546 1.0807 0.960789
32 0.000704953 -0.000395995 1.07991 0.961411
33 0.000640897 -0.000432907 1.0791 0.961989
34 0.000586537 -0.000462993 1.0783 0.962286
35 0.000540283 -0.000485424 1.07749 0.962421
36 0.000500813 -0.000501615 1.07668 0.962567
37 0.000467025 -0.00051273 1.07588 0.962726
38 0.000437998 -0.000519732 1.07508 0.962897
39 0.000412969 -0.00052341 1.07429 0.96308
40 0.000391298 -0.000524416 1.0735 0.963275
41 0.000372451 -0.000523285 1.07272 0.963482
42 0.000355985 -0.000520459 1.07195 0.9637
43 0.000341526 -0.000516297 1.07119 0.963928
44 0.000328764 -0.000511095 1.07043 0.964166
45 0.000317439 -0.000505094 1.06969 0.964414
46 0.000307332 -0.000498494 1.06895 0.964672
47 0.000298261 -0.000491452 1.06823 0.964937
48 0.000290073 -0.000484101 1.06751 0.965211
49 0.00028264 -0.000476546 1.06681 0.965492
50 0.000275853 -0.00046887 1.06611 0.965779
51 0.00026962 -0.000461143 1.06542 0.966073
52 0.000263867 -0.000453419 1.06474 0.966373
53 0.000258527 -0.000445739 1.06407 0.966679
54 0.000253547 -0.000438139 1.06341 0.966989
