Iteration max_z min_z max_grad min_grad
1 0.690533 6.50343e-44 0.675866 0.0561952
2 0.0647906 4.96219e-45 1.20208 0.807986
3 0.0115824 -0.00707517 1.19738 0.925025
4 0.00488301 -0.00836569 1.14821 0.942854
5 0.00336547 -0.00653347 1.116 0.951734
6 0.00269088 -0.00515764 1.09532 0.955191
7 0.00227818 -0.00422479 1.08257 0.956687
8 0.00199318 -0.00356974 1.07824 0.95689
9 0.00178269 -0.00309007 1.07397 0.95763
10 0.00161924 -0.00272601 1.06985 0.958913
11 0.00148704 -0.00244103 1.06596 0.960576
12 0.00137644 -0.00221176 1.06231 0.962486
13 0.00128131 -0.00202264 1.05892 0.964539
14 0.00119763 -0.00186881 1.05578 0.96666
15 0.0011227 -0.00173813 1.05288 0.96879
16 0.00105466 -0.00162165 1.05019 0.970888
17 0.000992202 -0.0015166 1.04771 0.972927
18 0.000934391 -0.00142099 1.04541 0.974886
19 0.000880545 -0.00133337 1.04327 0.976754
20 0.000830151 -0.00125263 1.04129 0.978523
21 0.000782821 -0.00117794 1.03945 0.980191
22 0.00073825 -0.00110864 1.03773 0.981758
23 0.000696195 -0.00104419 1.03612 0.983183
24 0.000656458 -0.00098413 1.03462 0.984295
25 0.000618873 -0.000928093 1.03322 0.985348
26 0.000583297 -0.000875748 1.0319 0.986343
27 0.000549607 -0.000826809 1.03067 0.987283
28 0.000517693 -0.000781018 1.02951 0.988169
29 0.000487456 -0.000738145 1.02842 0.989004
30 0.000458807 -0.000697982 1.02739 0.989383
31 0.000431663 -0.000660339 1.02642 0.989738
32 0.000405948 -0.000625041 1.02551 0.990085
33 0.000381589 -0.000591928 1.02465 0.990424
34 0.000358519 -0.000560852 1.02383 0.990755
35 0.000336674 -0.000531675 1.02307 0.991078
36 0.000315994 -0.000504272 1.02234 0.991393
37 0.000296423 -0.000478525 1.02165 0.991698
38 0.000277905 -0.000454325 1.021 0.991995
39 0.000260389 -0.000431571 1.02038 0.992283
40 0.000243825 -0.000410168 1.0198 0.992562
41 0.000228166 -0.000390031 1.01924 0.992832
42 0.000213368 -0.000371077 1.01871 0.993093
43 0.000199387 -0.00035323 1.01821 0.993345
44 0.000186182 -0.00033642 1.01774 0.993589
45 0.000173715 -0.000320583 1.01728 0.99369
46 0.000161947 -0.000305655 1.01685 0.993681
47 0.000150843 -0.000291581 1.01644 0.993679
48 0.000140369 -0.000278307 1.01605 0.993684
49 0.000130493 -0.000265784 1.01568 0.993695
50 0.000121183 -0.000253965 1.01533 0.993711
51 0.000112589 -0.000242807 1.01499 0.993733
52 0.00010562 -0.000232269 1.01466 0.993759
53 9.90423e-05 -0.000222314 1.01436 0.99379
54 9.2835e-05 -0.000212907 1.01406 0.993824
55 8.69774e-05 -0.000204014 1.01378 0.993863
56 8.14501e-05 -0.000195605 1.01351 0.993904
57 7.62348e-05 -0.000187651 1.01325 0.993949
58 7.16462e-05 -0.000180124 1.013 0.993996
59 6.91037e-05 -0.000172999 1.01276 0.994046
60 6.66813e-05 -0.000166253 1.01253 0.994098
61 6.43717e-05 -0.000159863 1.01231 0.994152
62 6.21681e-05 -0.000153808 1.0121 0.994207
63 6.00641e-05 -0.000148069 1.0119 0.994265
64 5.80539e-05 -0.000142627 1.0117 0.994323
65 5.61321e-05 -0.000137466 1.01151 0.994383
66 5.42935e-05 -0.000132568 1.01133 0.994444
67 5.25335e-05 -0.00012792 1.01115 0.994506
68 5.08476e-05 -0.000123505 1.01099 0.994568
69 4.92318e-05 -0.000119312 1.01082 0.994632
70 4.76822e-05 -0.000115328 1.01066 0.994695
71 4.61952e-05 -0.00011154 1.01051 0.994759
72 4.47676e-05 -0.000107937 1.01036 0.994824
73 4.33961e-05 -0.00010451 1.01022 0.994889
74 4.20779e-05 -0.000101249 1.01008 0.994954
75 4.08103e-05 -9.81428e-05 1.00995 0.995019
