Iteration max_z min_z max_grad min_grad
129 0.00164498 -0.002386 24.2033 0.530503
130 0.00163508 -0.00219683 24.2033 0.531476
131 0.00158429 -0.00198593 24.2033 0.532473
132 0.00150378 -0.00176842 24.2033 0.533489
133 0.00140573 -0.001557 24.2033 0.534519
134 0.00130098 -0.00136071 24.2033 0.53556
135 0.0012665 -0.00118478 24.2033 0.536608
136 0.00130649 -0.00107957 24.2033 0.53766
137 0.00134767 -0.00106399 24.2033 0.538713
138 0.00138936 -0.00104121 24.2033 0.539765
139 0.00143074 -0.00101085 24.2033 0.540814
140 0.00147091 -0.000973143 24.2033 0.541857
141 0.00150887 -0.000928832 24.2033 0.542893
142 0.00154355 -0.000879046 24.2033 0.54392
143 0.0015739 -0.000825165 24.2033 0.544936
144 0.00159888 -0.000768669 24.2033 0.545939
145 0.00161753 -0.000711017 24.2033 0.546925
146 0.00162905 -0.000674175 24.2033 0.547892
147 0.00163279 -0.000663584 24.2033 0.548835
148 0.00162834 -0.000653302 24.2033 0.549751
149 0.00161553 -0.000643302 24.2033 0.550634
150 0.00159444 -0.000633531 24.2034 0.551479
151 0.0015654 -0.000623926 24.2034 0.552278
152 0.00152896 -0.00061442 24.2034 0.553026
153 0.00148588 -0.000604956 24.2034 0.553714
154 0.00150885 -0.000595491 24.2034 0.554337
155 0.0015689 -0.000586 24.2034 0.554885
156 0.00162996 -0.000576483 24.2035 0.555352
157 0.00169133 -0.00056696 24.2035 0.555732
158 0.00175199 -0.000557473 24.2035 0.556017
159 0.0018105 -0.000556071 24.2035 0.55576
160 0.00186505 -0.000573293 24.2036 0.555422
161 0.00191342 -0.000586309 24.2036 0.555104
162 0.00195306 -0.000595367 24.2036 0.554803
163 0.00198122 -0.000600802 24.2036 0.55452
164 0.00199515 -0.000602996 24.2036 0.554254
165 0.00199238 -0.000602353 24.2037 0.554005
166 0.001971 -0.000599264 24.2037 0.553772
167 0.00192995 -0.000594088 24.2037 0.553556
168 0.00186921 -0.000587138 24.2037 0.55334
169 0.00178996 -0.000578679 24.2037 0.552618
170 0.00169443 -0.000568934 24.2037 0.551854
171 0.00158579 -0.000558095 24.2038 0.551062
172 0.00146775 -0.000546334 24.2038 0.550253
173 0.00134426 -0.000533819 24.2038 0.54944
174 0.00121911 -0.000520716 24.2038 0.54863
175 0.0010957 -0.000507197 24.2038 0.547832
176 0.000976806 -0.000493432 24.2038 0.54705
177 0.000864537 -0.000479592 24.2038 0.546288
178 0.000760319 -0.000465835 24.2038 0.545549
179 0.000664971 -0.000452307 24.2038 0.544832
180 0.000578799 -0.000439138 24.2038 0.54414
181 0.000545792 -0.000426433 24.2038 0.543469
182 0.000557637 -0.00041428 24.2038 0.542821
183 0.000569718 -0.000407877 24.2038 0.542192
184 0.000582006 -0.000404116 24.2038 0.541583
185 0.000594475 -0.000400486 24.2038 0.540991
186 0.000607105 -0.000396978 24.2038 0.540415
187 0.000619879 -0.000393582 24.2038 0.539854
188 0.00063278 -0.000390284 24.2038 0.539305
189 0.000645795 -0.00038707 24.2038 0.538768
190 0.000658909 -0.000383925 24.2038 0.538242
191 0.000672109 -0.000380833 24.2038 0.537724
192 0.00068538 -0.000377779 24.2038 0.537213
193 0.000698705 -0.000374746 24.2038 0.53671
194 0.000712068 -0.000371721 24.2038 0.536211
195 0.000725449 -0.000368688 24.2038 0.535718
196 0.000738825 -0.000365635 24.2038 0.535227
197 0.00075386 -0.00036255 24.2038 0.534739
198 0.000771566 -0.00035942 24.2038 0.534253
199 0.000789528 -0.000356237 24.2038 0.533767
200 0.00080773 -0.000352993 24.2038 0.533281
201 0.000826153 -0.00034968 24.2038 0.532795
202 0.000844774 -0.000346293 24.2038 0.532307
203 0.000863569 -0.000342828 24.2038 0.531817
204 0.000882506 -0.000339283 24.2038 0.531325
205 0.000901553 -0.000335659 24.2038 0.530829
206 0.00092067 -0.000331955 24.2038 0.530329
207 0.000939815 -0.000335659 24.2038 0.529826
208 0.000958943 -0.00034325 24.2038 0.529317
209 0.000978001 -0.000350998 24.2038 0.528804
210 0.000996936 -0.000358877 24.2037 0.528285
211 0.00101569 -0.000366863 24.2037 0.52776
212 0.00103419 -0.000374927 24.2037 0.527229
213 0.00105238 -0.00038304 24.2037 0.526692
214 0.00107019 -0.000391173 24.2037 0.526149
215 0.00108755 -0.000399294 24.2037 0.525598
216 0.00110437 -0.000407372 24.2037 0.52504
217 0.00112058 -0.000415374 24.2037 0.524476
218 0.00114383 -0.000423267 24.2037 0.523904
219 0.00116784 -0.000431019 24.2037 0.523324
220 0.00119117 -0.000438595 24.2037 0.522737
221 0.00121365 -0.000445964 24.2037 0.522143
222 0.00123513 -0.000453092 24.2037 0.521541
223 0.00125544 -0.000459949 24.2037 0.520932
224 0.00127441 -0.000466503 24.2037 0.520315
225 0.00129187 -0.000472724 24.2037 0.519691
226 0.00130766 -0.000478583 24.2037 0.51906
227 0.00132162 -0.000484051 24.2037 0.518421
228 0.00133358 -0.000489103 24.2037 0.517776
229 0.00134342 -0.00049371 24.2037 0.517124
230 0.00135101 -0.000497847 24.2037 0.516466
231 0.00135623 -0.000501488 24.2037 0.515802
232 0.00135899 -0.000504609 24.2037 0.515131
233 0.00135921 -0.000507184 24.2037 0.514455
234 0.00135684 -0.000509187 24.2036 0.513774
235 0.00135837 -0.000510595 24.2036 0.513088
236 0.00137568 -0.000511382 24.2036 0.512397
237 0.0013914 -0.000511523 24.2036 0.511703
238 0.00140542 -0.000510993 24.2036 0.511004
239 0.00141763 -0.00050977 24.2036 0.510302
240 0.00142792 -0.00050783 24.2036 0.509597
241 0.00143618 -0.000505153 24.2036 0.508889
242 0.0014423 -0.000501722 24.2036 0.50818
243 0.00144621 -0.000497523 24.2036 0.507469
244 0.00144782 -0.000492545 24.2036 0.506757
245 0.00144706 -0.000486784 24.2036 0.506044
246 0.00144388 -0.000480243 24.2036 0.50533
247 0.00143822 -0.000488829 24.2036 0.504618
248 0.00143008 -0.000498648 24.2036 0.503905
249 0.00141945 -0.000509145 24.2036 0.503195
250 0.00140635 -0.000520384 24.2036 0.502486
251 0.00139083 -0.00053243 24.2036 0.501779
252 0.00137295 -0.000545355 24.2036 0.501075
253 0.0013528 -0.000559233 24.2037 0.500374
254 0.00133049 -0.000574143 24.2037 0.499677
255 0.00130613 -0.00059017 24.2037 0.498984
256 0.00127988 -0.000607401 24.2037 0.498296
257 0.00125189 -0.000625928 24.2037 0.497614
258 0.00122231 -0.000645847 24.2037 0.496937
259 0.00119132 -0.000667253 24.2037 0.496267
260 0.00115909 -0.000690243 24.2037 0.495603
261 0.0011258 -0.000714914 24.2037 0.494947
262 0.00109162 -0.000741356 24.2037 0.494299
263 0.00105673 -0.000769652 24.2037 0.493659
264 0.00102129 -0.00079987 24.2037 0.493028
265 0.000985475 -0.000832061 24.2037 0.492407
266 0.000949441 -0.000866246 24.2037 0.491795
267 0.000913343 -0.000902407 24.2037 0.491193
268 0.00087733 -0.000940477 24.2038 0.490602
269 0.000841545 -0.000980322 24.2038 0.490022
270 0.000806122 -0.00102173 24.2038 0.489454
271 0.000771191 -0.00106438 24.2038 0.488897
272 0.000736873 -0.00110784 24.2038 0.488353
273 0.000703283 -0.00115152 24.2038 0.487821
274 0.000670528 -0.00119471 24.2038 0.487302
275 0.000638705 -0.0012365 24.2038 0.486796
276 0.000607901 -0.00127582 24.2038 0.486304
277 0.000578195 -0.00131146 24.2039 0.485825
278 0.00054965 -0.00134208 24.2039 0.48536
279 0.000572542 -0.00136629 24.2039 0.484909
280 0.000612176 -0.0013827 24.2039 0.484471
281 0.000650493 -0.00139004 24.2039 0.484048
282 0.000686719 -0.00138729 24.2039 0.483637
283 0.000720105 -0.00137372 24.2039 0.48324
